本書では，青空文庫(https://www.aozora.gr.jp)から提供
されている著作権の切れた590作品のデータをコーパスと
して利用しています．それらの作品ID，著者，表題は以下
の通りです．

作品ID  著者     表題
-------------------------------
000241 太宰治 美男子と煙草
000243 太宰治 眉山
000244 太宰治 チャンス
000245 太宰治 父
000250 太宰治 男女同権
000253 太宰治 十二月八日
000258 太宰治 グッド・バイ
000261 太宰治 母
000263 太宰治 薄明
000265 太宰治 犯人
000274 太宰治 女類
000291 太宰治 饗応夫人
000293 太宰治 女神
000295 太宰治 メリイクリスマス
000297 太宰治 未帰還の友に
000305 太宰治 おさん
000308 太宰治 桜桃
000309 太宰治 親という二字
000310 太宰治 フォスフォレッスセンス
000314 太宰治 律子と貞子
000340 吉行エイスケ 地図に出てくる男女
000341 吉行エイスケ 飛行機から墜ちるまで
000342 吉行エイスケ 女百貨店
000343 吉行エイスケ 大阪万華鏡
000344 吉行エイスケ 戦争のファンタジイ
000345 吉行エイスケ 新種族ノラ
000346 吉行エイスケ 職業婦人気質
000361 幸田露伴 幻談
000452 織田作之助 競馬
000545 織田作之助 夫婦善哉
000619 中島敦 南島譚
000621 中島敦 名人伝
000622 中島敦 文字禍
000624 中島敦 山月記
000627 新美南吉 赤い蝋燭
000641 萩原朔太郎 猫町
000669 田中英光 オリンポスの果実
000729 田中英光 さようなら
000783 夏目漱石 道草
000869 海野十三 俘囚
000872 海野十三 幸運の黒子
000876 海野十三 人造人間殺害事件
000881 海野十三 予報省告示
000884 黒島伝治 渦巻ける烏の群
000929 夢野久作 奥様探偵術
000984 岡本かの子 家霊
001047 太宰治 竹青
001095 太宰治 散華
001109 太宰治 東京だより
001220 海野十三 麻雀殺人事件
001221 海野十三 振動魔
001222 海野十三 鍵から抜け出した女
001224 海野十三 階段
001225 海野十三 国際殺人団の崩壊
001226 海野十三 西湖の屍人
001228 海野十三 三角形の恐怖
001229 海野十三 電気風呂の怪死事件
001230 海野十三 壊れたバリコン
001231 海野十三 空中墳墓
001232 海野十三 白蛇の死
001233 海野十三 赤耀館事件の真相
001234 海野十三 電気看板の神経
001235 海野十三 省線電車の射撃手
001236 海野十三 ネオン横丁殺人事件
001237 海野十三 恐しき通夜
001238 海野十三 遊星植民説
001239 海野十三 殺人の涯
001240 海野十三 空襲葬送曲
001241 海野十三 夜泣き鉄骨
001242 海野十三 爬虫館事件
001243 海野十三 間諜座事件
001245 海野十三 赤外線男
001246 海野十三 地獄街道
001247 海野十三 ゴールデン・バット事件
001248 海野十三 柿色の紙風船
001249 海野十三 蠅
001250 海野十三 疑問の金塊
001251 海野十三 恐怖の口笛
001252 海野十三 三人の双生児
001253 海野十三 地中魔
001254 海野十三 蠅男
001259 大阪圭吉 灯台鬼
001260 大阪圭吉 幽霊妻
001261 大阪圭吉 デパートの絞刑吏
001262 大阪圭吉 死の快走船
001263 大阪圭吉 気狂い機関車
001264 大阪圭吉 とむらい機関車
001265 大阪圭吉 闖入者
001266 大阪圭吉 三狂人
001267 大阪圭吉 白妖
001268 大阪圭吉 あやつり裁判
001269 大阪圭吉 銀座幽霊
001270 大阪圭吉 動かぬ鯨群
001271 大阪圭吉 寒の夜晴れ
001272 大阪圭吉 三の字旅行会
001320 小栗虫太郎 人外魔境
001321 小栗虫太郎 人外魔境
001341 菊池寛 ある抗議書
001398 金史良 光の中に
001403 国枝史郎 神州纐纈城
001428 甲賀三郎 ニッケルの文鎮
001436 幸田露伴 観画談
001439 幸田露伴 蘆声
001582 太宰治 花吹雪
001598 太宰治 一問一答
001615 田中貢太郎 蟇の血
001663 田中英光 野狐
001726 中里介山 大菩薩峠
001727 中里介山 大菩薩峠
001738 中島敦 弟子
001741 中島敦 斗南先生
001742 中島敦 牛人
001743 中島敦 光と風と夢
001770 萩原朔太郎 ウォーソン夫人の黒猫
001771 萩原朔太郎 日清戦争異聞（原田重吉の夢）
001814 林芙美子 風琴と魚の町
001815 林芙美子 魚の序文
001816 林芙美子 清貧の書
001817 林芙美子 河沙魚
001890 牧野信一 鬼涙村
002094 夢野久作 骸骨の黒穂
002098 夢野久作 眼を開く
002172 吉行エイスケ 東京ロマンティック恋愛記
002173 吉行エイスケ バルザックの寝巻姿
002174 吉行エイスケ スポールティフな娼婦
002175 吉行エイスケ 恋の一杯売
002176 吉行エイスケ 孟買挿話
002187 蘭郁二郎 夢鬼
